time,ax,ay,az,wx,wy,wz
2026-03-11T13:55:57.740Z,0.0116,0.0216,-0.1392,-0.0023,-0.0048,0.0029
2026-03-11T13:55:57.751Z,0.0122,0.0116,-0.1287,-0.0019,-0.0051,0.0034
2026-03-11T13:55:57.760Z,0.0137,0.0236,-0.1421,0.0005,-0.0039,0.0025
2026-03-11T13:55:57.770Z,0.0084,0.0206,-0.1312,0.0001,-0.0012,0.0019
2026-03-11T13:55:57.780Z,0.0295,0.0216,-0.1290,-0.0014,-0.0023,0.0046
2026-03-11T13:55:57.790Z,0.0142,0.0135,-0.1311,-0.0024,-0.0045,0.0035
2026-03-11T13:55:57.800Z,0.0137,0.0184,-0.1302,-0.0039,-0.0042,0.0022
2026-03-11T13:55:57.810Z,0.0270,0.0332,-0.1318,-0.0008,-0.0040,0.0033
2026-03-11T13:55:57.820Z,0.0160,0.0308,-0.1195,-0.0024,-0.0049,0.0019
2026-03-11T13:55:57.830Z,0.0223,0.0233,-0.1402,-0.0029,-0.0026,0.0037
2026-03-11T13:55:57.840Z,0.0123,0.0203,-0.1242,-0.0010,-0.0043,0.0028
2026-03-11T13:55:57.852Z,0.0133,0.0174,-0.1412,-0.0028,-0.0040,0.0033
2026-03-11T13:55:57.860Z,0.0071,0.0024,-0.1231,-0.0028,-0.0040,0.0033
2026-03-11T13:55:57.872Z,0.0093,0.0116,-0.1367,-0.0035,-0.0047,0.0036
2026-03-11T13:55:57.880Z,0.0226,0.0224,-0.1348,-0.0035,-0.0047,0.0036
2026-03-11T13:55:57.891Z,0.0131,0.0165,-0.1432,-0.0034,-0.0031,0.0044
2026-03-11T13:55:57.902Z,0.0175,0.0178,-0.1349,-0.0032,-0.0044,0.0030
2026-03-11T13:55:57.910Z,-0.0011,0.0164,-0.1240,-0.0032,-0.0044,0.0030
2026-03-11T13:55:57.923Z,0.0163,0.0177,-0.1303,-0.0030,-0.0039,0.0015
2026-03-11T13:55:57.932Z,0.0262,0.0099,-0.1285,-0.0023,-0.0063,0.0053
